"pitcher","game_year","n_pitches","tunnel_quality_arsenal","tunnel_quartile","tunnel_bucket","avg_xRV","avg_actual_rv","tunneling_plus","percentile"
642048,2025,696,0.557767228648833,"Q3","40-50%",-0.0137938188400798,0.00206896551724138,106.6,91.4
664126,2025,2916,0.531559070001592,"Q1 (Worst)","30-40%",-0.013789413978158,-0.0189300411522634,106.6,91.4
667297,2024,960,0.540801968528637,"Q1 (Worst)","30-40%",-0.0137915883776714,-0.017134375,106.6,91.4
671345,2023,3132,0.562951361206137,"Q3","40-50%",-0.0137768423921994,-0.0168122605363985,106.6,91.4
679885,2024,3531,0.555794282131731,"Q3","40-50%",-0.0138244020718009,-0.0171087510620221,106.6,91.4
656876,2025,6948,0.572721244561445,"Q4 (Best)","50-60%",-0.0137107560091489,-0.0180289291882556,106.5,91.3
502085,2025,903,0.551464294859521,"Q2","40-50%",-0.01368414794897,0.000534883720930232,106.4,90.8
519151,2024,2847,0.568791758429133,"Q4 (Best)","50-60%",-0.0136609469674152,-0.00828029504741833,106.4,90.8
554430,2023,9438,0.574901876088739,"Q4 (Best)","50-60%",-0.013640783070149,-0.0139618563254927,106.4,90.8
592773,2023,2571,0.566330594451221,"Q3","50-60%",-0.0136591088892075,-0.011659276546091,106.4,90.8
595014,2025,1500,0.581006956148106,"Q4 (Best)","50-60%",-0.0136813377491781,-0.00256,106.4,90.8
647315,2025,381,0.576726601387172,"Q4 (Best)","50-60%",-0.0136257554637039,0.0478346456692913,106.4,90.8
664351,2024,300,0.554750549614897,"Q2","40-50%",-0.0136716274044011,-0.00667,106.4,90.8
664854,2025,2937,0.53979393940224,"Q1 (Worst)","30-40%",-0.0136223969617273,-0.00808988764044944,106.4,90.8
673111,2023,135,0.549989331568107,"Q2","40-50%",-0.0136363061319571,0.0115555555555556,106.4,90.8
676755,2025,2262,0.602382309172782,"Q4 (Best)","60-70%",-0.0136406772316022,-0.023606100795756,106.4,90.8
686580,2024,2433,0.572696855775159,"Q4 (Best)","50-60%",-0.0136435470223579,-0.021501849568434,106.4,90.8
689690,2025,1758,0.548734115185252,"Q2","40-50%",-0.013652892573104,-0.00545051194539249,106.4,90.8
521230,2025,696,0.579146438244476,"Q4 (Best)","50-60%",-0.0135557427884437,-0.0137413793103448,106.3,90.4
554340,2025,1071,0.562780610608019,"Q3","40-50%",-0.0135817146789219,-0.021484593837535,106.3,90.4
605280,2025,8277,0.552259718244818,"Q2","40-50%",-0.0135889266604376,-0.0141109097499094,106.3,90.4
607455,2025,3177,0.575841424393016,"Q4 (Best)","50-60%",-0.0135611173885531,-0.0140576015108593,106.3,90.4
621381,2023,4071,0.538631383104721,"Q1 (Worst)","30-40%",-0.0136171124031695,-0.0158835666912307,106.3,90.4
628708,2023,2088,0.566786270039304,"Q3","50-60%",-0.0136089115931518,-0.00176724137931034,106.3,90.4
641835,2023,2361,0.614414555720354,"Q4 (Best)","70-80%",-0.0136076378666534,-0.0108996188055909,106.3,90.4
669211,2024,3651,0.584102104785653,"Q4 (Best)","50-60%",-0.0135807231159821,-0.0170723089564503,106.3,90.4
670102,2023,1614,0.533394674884927,"Q1 (Worst)","30-40%",-0.0135550531407358,-0.0238271375464684,106.3,90.4
676263,2025,3438,0.571061333672488,"Q4 (Best)","50-60%",-0.0135996759649026,-0.0227565445026178,106.3,90.4
676684,2025,3372,0.621905784693464,"Q4 (Best)","70-80%",-0.013572781718453,-0.0156548042704626,106.3,90.4
554430,2025,7179,0.573438409724068,"Q4 (Best)","50-60%",-0.01348042567927,-0.0148896782281655,106.2,90.2
573124,2023,2400,0.533229831170622,"Q1 (Worst)","30-40%",-0.0134776465477353,-0.014255,106.2,90.2
664747,2024,2931,0.607739064432101,"Q4 (Best)","60-70%",-0.0135005991317595,-0.0125957011258956,106.2,90.2
669199,2025,3429,0.55266258788434,"Q2","40-50%",-0.0134926858902993,-0.0132939632545932,106.2,90.2
