#,Name,MLBAMID,Team,STD_POS,Last,First,Lastv2,Firstv2
509,Dylan Cease,656302,SD,SP,Cease,Dylan,Cease,Dylan
511,Austin Davis,656354,SD,RP,Davis,Austin,Davis,Austin
513,Tommy Doyle,656382,COL,RP,Doyle,Tommy,Doyle,Tommy
515,Alex Faedo,656412,TB,RP,Faedo,Alex,Faedo,Alex
517,Jack Flaherty,656427,DET,SP,Flaherty,Jack,Flaherty,Jack
518,Tyler Gilbert,656457,CHW,RP,Gilbert,Tyler,Gilbert,Tyler
519,Lucas Gilbreath,656458,COL,RP,Gilbreath,Lucas,Gilbreath,Lucas
520,Kevin Ginkel,656464,ARI,RP,Ginkel,Kevin,Ginkel,Kevin
522,Sam Hentges,656529,CLE,RP,Hentges,Sam,Hentges,Sam
526,Tanner Houck,656557,BOS,SP,Houck,Tanner,Houck,Tanner
529,Mitch Keller,656605,PIT,SP,Keller,Mitch,Keller,Mitch
531,Michael Kopech,656629,LAD,RP,Kopech,Michael,Kopech,Michael
532,Alex Lange,656638,DET,RP,Lange,Alex,Lange,Alex
533,Jacob Latz,656641,TEX,SP,Latz,Jacob,Latz,Jacob
536,Josh Maciejewski,656671,MIL,RP,Maciejewski,Josh,Maciejewski,Josh
538,Trevor Megill,656730,MIL,RP,Megill,Trevor,Megill,Trevor
539,Tylor Megill,656731,NYM,SP,Megill,Tylor,Megill,Tylor
540,Bryce Montes De Oca,656755,NYM,RP,Montes De Oca,Bryce,Montes De Oca,Bryce
541,Jordan Montgomery,656756,MIL,SP,Montgomery,Jordan,Montgomery,Jordan
543,Parker Mushinski,656786,CLE,SP,Mushinski,Parker,Mushinski,Parker
545,Luis F. Ortiz,656814,NYM,RP,Ortiz,Luis F.,Ortiz,Luis F.
546,Connor Overton,656818,TOR,SP,Overton,Connor,Overton,Connor
547,Nicholas Padilla,656820,PHI,RP,Padilla,Nicholas,Padilla,Nicholas
548,Michael Petersen,656848,MIA,RP,Petersen,Michael,Petersen,Michael
549,David Peterson,656849,NYM,SP,Peterson,David,Peterson,David
550,Drew Rasmussen,656876,TB,SP,Rasmussen,Drew,Rasmussen,Drew
552,Sean Reid-Foley,656887,ARI,RP,Reid-Foley,Sean,Reid-Foley,Sean
554,Jared Robinson,656904,ATL,RP,Robinson,Jared,Robinson,Jared
555,Ryder Ryan,656924,PIT,RP,Ryan,Ryder,Ryan,Ryder
556,Tanner Scott,656945,LAD,RP,Scott,Tanner,Scott,Tanner
558,Peter Solomon,656981,CHC,RP,Solomon,Peter,Solomon,Peter
559,Bennett Sousa,656986,HOU,RP,Sousa,Bennett,Sousa,Bennett
560,Justin Steele,657006,CHC,SP,Steele,Justin,Steele,Justin
561,Trey Supak,657022,TEX,SP,Supak,Trey,Supak,Trey
563,Ryan Thompson,657044,ARI,RP,Thompson,Ryan,Thompson,Ryan
564,Touki Toussaint,657053,LAA,RP,Toussaint,Touki,Toussaint,Touki
566,Jacob Webb,657097,TEX,RP,Webb,Jacob,Webb,Jacob
569,Kyle Wright,657140,KC,SP,Wright,Kyle,Wright,Kyle
571,Julian Merryweather,657240,MIL,RP,Merryweather,Julian,Merryweather,Julian
573,Glenn Otto,657248,HOU,RP,Otto,Glenn,Otto,Glenn
574,Peter Strzelecki,657265,TB,RP,Strzelecki,Peter,Strzelecki,Peter
575,Logan Webb,657277,SF,SP,Webb,Logan,Webb,Logan
576,Clarke Schmidt,657376,NYY,SP,Schmidt,Clarke,Schmidt,Clarke
577,Matt Gage,657424,SF,RP,Gage,Matt,Gage,Matt
578,Brennan Bernardino,657514,BOS,RP,Bernardino,Brennan,Bernardino,Brennan
580,Caleb Ferguson,657571,SEA,RP,Ferguson,Caleb,Ferguson,Caleb
581,Reed Garrett,657585,NYM,RP,Garrett,Reed,Garrett,Reed
582,Tim Hill,657612,NYY,RP,Hill,Tim,Hill,Tim
583,Jared Koenig,657649,MIL,RP,Koenig,Jared,Koenig,Jared
587,Joe Ryan,657746,MIN,SP,Ryan,Joe,Ryan,Joe
588,Connor Seabold,657756,ATL,RP,Seabold,Connor,Seabold,Connor
590,Eric Stout,657770,SEA,RP,Stout,Eric,Stout,Eric
591,Adonis Medina,658431,PHI,RP,Medina,Adonis,Medina,Adonis
592,Junior Fernandez,658551,NYM,RP,Fernandez,Junior,Fernández,Junior
593,Pedro Avila,658648,CLE,RP,Avila,Pedro,Avila,Pedro
594,Shohei Ohtani,660271,LAD,SP,Ohtani,Shohei,Ohtani,Shohei
595,Enoli Paredes,660600,ATL,RP,Paredes,Enoli,Paredes,Enoli
597,Huascar Ynoa,660623,MIN,RP,Ynoa,Huascar,Ynoa,Huascar
603,Elvin Rodriguez,660730,ARI,SP,Rodriguez,Elvin,Rodríguez,Elvin
604,Jose Suarez,660761,ATL,RP,Suarez,Jose,Suarez,José
606,Yerry De los Santos,660787,NYY,RP,De los Santos,Yerry,De los Santos,Yerry
