"pitcher","game_year","num_pitch_types","pitch_arsenal","total_combinations","total_pitches","release_similarity_arsenal","approach_divergence_arsenal","tunnel_quality_arsenal"
656848,2024,3,"CH/FC/FF",6,2142,0.293140280245301,0.878154321928811,0.585647301087056
685299,2024,4,"CH/CU/FF/SL",12,5454,0.293424557651704,0.877832403354653,0.585628480503179
669270,2024,4,"CH/FF/SI/SL",12,1395,0.322071923783408,0.848905374820247,0.585488649301828
669212,2024,3,"CH/FF/SL",6,3876,0.281686170355124,0.889163516860035,0.58542484360758
680880,2025,3,"FF/FS/SL",6,2232,0.308495574200501,0.862213165781123,0.585354369990812
665625,2024,2,"SI/SL",2,2484,0.258993594337024,0.911645461556927,0.585319527946975
686249,2025,2,"CH/FF",2,54,0.358694084030761,0.811676057255544,0.585185070643153
692024,2025,3,"FF/FS/SL",6,504,0.27808687546122,0.892102372832604,0.585094624146912
695445,2025,4,"CH/FF/SI/ST",12,5400,0.327899611869071,0.842185647554538,0.585042629711804
679358,2025,3,"FF/FS/SL",6,4074,0.286389677831295,0.88357063966428,0.584980158747788
661527,2024,4,"CH/FF/SI/ST",12,7542,0.304841443166797,0.865104265641468,0.584972854404132
656464,2023,3,"FF/SI/SL",6,6330,0.271977300356136,0.897852336442751,0.584914818399443
592332,2024,4,"FF/FS/SI/SL",12,25794,0.319380435777476,0.850337289255613,0.584858862516545
686790,2025,4,"CH/CU/SI/SL",12,1908,0.30808280995489,0.861622900737202,0.584852855346046
621345,2025,3,"CH/FC/FF",6,1110,0.274111473557122,0.895502544534122,0.584807009045622
641401,2025,3,"CH/FC/FF",6,5040,0.297235396481906,0.872248065201996,0.584741730841951
643493,2024,5,"CH/CU/FF/SI/SL",20,936,0.303469360283639,0.865966417326788,0.584717888805214
571578,2023,4,"CH/FF/SI/SL",12,26217,0.301737814637535,0.867437140681083,0.584587477659309
663321,2023,2,"FF/SL",2,228,0.273825944970375,0.895287606747493,0.584556775858934
668834,2023,4,"CU/FF/SI/SL",12,531,0.260653554454326,0.908208615928257,0.584431085191291
669211,2023,3,"CH/FF/SL",6,2700,0.269225801139156,0.89954974841631,0.584387774777733
657093,2023,4,"FC/FF/SI/SL",12,756,0.287392070774951,0.881371986114182,0.584382028444567
656290,2023,4,"CH/FF/SI/SL",12,2970,0.305951101464646,0.862587027208981,0.584269064336814
656793,2024,4,"CH/FF/SI/SL",12,846,0.302806217641041,0.865466468576851,0.584136343108946
669211,2024,3,"CH/FF/SL",6,7446,0.268591515140288,0.899612694431019,0.584102104785653
664744,2025,2,"FF/FS",2,69,0.329739991774971,0.838458645093414,0.584099318434192
502202,2023,3,"CH/FF/SL",6,2028,0.288376285049408,0.879771767838582,0.584074026443995
700241,2025,7,"CH/CU/FC/FF/SI/SL/ST",42,26370,0.282156673991784,0.885490080430053,0.583823377210919
621345,2024,3,"CH/FC/FF",6,3132,0.280548819184239,0.887001450278283,0.583775134731261
676617,2025,3,"CU/SI/SL",6,4542,0.246503726698084,0.921005167661301,0.583754447179692
693821,2023,4,"CH/FF/SI/SL",12,25587,0.31775786691026,0.849691359674822,0.583724613292542
681911,2023,3,"CH/FF/SL",6,5106,0.265201900407781,0.902233411665811,0.583717656036796
595928,2025,4,"CH/FC/FF/SL",12,4905,0.296551956171445,0.870822580568719,0.583687268370082
669330,2025,5,"CH/CU/FC/FF/SL",20,4104,0.303390464888452,0.863932514858666,0.583661489873559
675989,2025,2,"SI/ST",2,96,0.197986162868294,0.969326043887964,0.583656103378129
673380,2024,3,"CH/FF/SL",6,2958,0.275801519775387,0.891507197169132,0.583654358472259
543518,2024,4,"FF/FS/SI/SL",12,5193,0.312554738844918,0.854727659755338,0.583641199300128
657277,2025,5,"CH/FC/FF/SI/ST",20,39384,0.303878409504988,0.863286956961065,0.583582683233027
623437,2025,4,"CH/FC/SI/ST",12,8811,0.309175354652894,0.857781403476875,0.583478379064884
642100,2024,3,"FF/SI/SL",6,2466,0.264292667252626,0.902602177050989,0.583447422151807
573009,2023,4,"CH/CU/FF/SI",12,5139,0.292274108814987,0.874587036285549,0.583430572550268
681911,2024,3,"CH/FF/SL",6,6648,0.275198453498202,0.891503018655356,0.583350736076779
607259,2024,6,"CH/CU/FC/FF/SI/SL",30,31830,0.306683215895776,0.859815094616168,0.583249155255972
676684,2024,4,"CH/FF/SI/SL",12,10458,0.294492958662168,0.871950762056047,0.583221860359108
663546,2025,3,"FC/KC/SI",6,1524,0.305329536158105,0.861087782910593,0.583208659534349
660730,2023,3,"CH/FF/SL",6,258,0.263916937236857,0.902352809552597,0.583134873394727
668942,2024,2,"CS/FA",2,72,0.168187830913152,0.997995240731516,0.583091535822334
669721,2024,5,"CH/CU/FF/FS/SL",20,6096,0.27022993865208,0.895937572878365,0.583083755765223
592351,2025,3,"CH/FF/SL",6,1224,0.30780661991565,0.858234178171287,0.583020399043469
605447,2023,2,"FF/SL",2,2745,0.265985652749271,0.899995488593536,0.582990570671403
621107,2025,6,"CH/CU/FC/FF/SI/ST",30,16905,0.28486178312017,0.880905604368633,0.582883693744402
622491,2023,4,"CH/FF/SI/SL",12,28845,0.304918739546593,0.860759601130368,0.582839170338481
657612,2023,4,"FC/FF/SI/SL",12,6444,0.361345308173318,0.80413753560021,0.582741421886764
689266,2023,4,"CH/FC/FF/SL",12,5112,0.317972599901192,0.847400351406283,0.582686475653737
674285,2024,3,"FF/SI/SL",6,2946,0.289226925014238,0.876039930675652,0.582633427844945
543548,2023,3,"CH/FF/SL",6,978,0.265843517106297,0.899312775992207,0.582578146549252
690916,2024,4,"FF/FS/SL/ST",12,2826,0.283636539313193,0.881406204310509,0.582521371811851
681982,2023,4,"CH/FF/SI/SL",12,5382,0.30726971672125,0.85768044814346,0.582475082432355
687330,2025,4,"FC/FF/SI/ST",12,5292,0.289959439182755,0.874925896022555,0.582442667602655
668338,2023,5,"CH/CU/FF/SI/SL",20,2688,0.267612731292031,0.89682673253307,0.58221973191255
596133,2025,4,"CH/FC/FF/SL",12,9441,0.312814606650748,0.851480380681555,0.582147493666152
622259,2024,3,"FF/FS/SL",6,1074,0.27544629547374,0.888796192609044,0.582121244041392
571656,2023,3,"CH/FF/SL",6,7326,0.270146879318264,0.893533615895331,0.581840247606798
641835,2024,3,"FC/SI/SL",6,4380,0.29433320798562,0.869310550912464,0.581821879449042
679883,2025,3,"CU/FF/SI",6,1266,0.247783866312702,0.915778332635796,0.581781099474249
622379,2025,4,"CH/FF/SI/ST",12,1512,0.28773175759914,0.87567569821694,0.58170372790804
622075,2024,5,"CH/FC/FF/SI/ST",20,3192,0.28004236314113,0.88311365778917,0.58157801046515
596271,2025,5,"CH/FF/SI/SL/ST",20,3228,0.313707348715818,0.849344114109618,0.581525731412718
691548,2025,2,"SI/SL",2,228,0.249676105440043,0.913276085101948,0.581476095270995
455119,2024,4,"FC/FF/FS/SI",12,5859,0.337847134707902,0.825048074630731,0.581447604669317
668716,2025,4,"CH/FC/SI/ST",12,3510,0.322965737648514,0.839919160559801,0.581442449104157
671922,2025,3,"FF/FS/ST",6,7092,0.264832411492592,0.898012699159679,0.581422555326136
694363,2024,4,"CH/FF/SI/SL",12,11610,0.32632792339139,0.836390438087423,0.581359180739407
656986,2023,3,"FF/SI/SL",6,840,0.305253693313078,0.857174065410507,0.581213879361793
